rowid,permanent_identifier,comid,resolution,gnis_id,gnis_name,area_sq_km,reachcode,ftype,fcode,vpuid,data_group,dist_m,location_type,Station,Description,Channel,Slope,notes,dist_to_shore,Latitude,Longitude
398,128074987,23001900242513,2,NA,NA,0.011000000000000001,10190007013406,390,39004,1019,CLP,42.351700727101026,poi_center,NA,NA,NA,NA,NA,NA,41.01060662403746,-105.25928564506724
399,128075571,23001900249138,2,NA,NA,0.02,10190007002293,390,39004,1019,CLP,66.37404433713316,poi_center,NA,NA,NA,NA,NA,NA,40.74737312967705,-104.9808376342776
400,128075226,23001900250465,2,00170127,Halligan Reservoir,1.0370000000000001,10190007002219,390,39009,1019,"CLP, ROSS_CLP",296.47534263547743,poi_center,NA,NA,NA,NA,NA,NA,40.88128761068706,-105.34847179506357
401,128075899,23001900239229,2,NA,NA,0.011000000000000001,10190007014137,390,39001,1019,CLP,35.370359864249124,poi_center,NA,NA,NA,NA,NA,NA,40.647601846501495,-105.01390577164393
402,128075291,23001900249133,2,NA,NA,0.017,10190007002232,390,39001,1019,CLP,51.87412800395049,poi_center,NA,NA,NA,NA,NA,NA,40.854291156378906,-105.19930587133155
403,128075311,23001900249134,2,NA,NA,0.013000000000000001,10190007013710,390,39001,1019,CLP,35.49621380927725,poi_center,NA,NA,NA,NA,NA,NA,40.854679997167665,-105.0107984207911
404,128075363,23001900249136,2,00170227,Dowdy Lake,0.42100000000000004,10190007002244,390,39009,1019,CLP,180.62967824828613,poi_center,NA,NA,NA,NA,NA,NA,40.7973314193518,-105.55851566919485
405,128076431,23001900249152,2,00180538,Angel Lake,0.135,10190007002536,390,39009,1019,CLP,153.10746116979925,poi_center,NA,NA,NA,NA,NA,NA,40.52644759482462,-104.81857193299733
406,128076515,23001900249155,2,NA,NA,0.026000000000000002,10190007002578,390,39004,1019,CLP,54.07108019598509,poi_center,NA,NA,NA,NA,NA,NA,40.46966468641956,-104.95066294292779
407,128076546,23001900249157,2,NA,NA,0.01,10190007002590,390,39004,1019,CLP,38.217962877614795,poi_center,NA,NA,NA,NA,NA,NA,40.4380815357005,-104.86422493486926
408,128075762,23001900239281,2,00177238,Hang Lake,0.012,10190007025479,390,39004,1019,CLP,50.35011119370784,poi_center,NA,NA,NA,NA,NA,NA,40.61705676624269,-105.91085981139256
409,128076303,23001900243386,2,NA,NA,0.033,10190007014419,390,39004,1019,CLP,75.79071815359761,poi_center,NA,NA,NA,NA,NA,NA,40.546789785363615,-105.01841480044118
410,128076415,23001900243390,2,NA,NA,0.017,10190007002530,390,39004,1019,CLP,61.89307408306278,poi_center,NA,NA,NA,NA,NA,NA,40.51871557391456,-104.98776435041817
411,128076292,23001900239232,2,NA,NA,0.099,10190007002497,390,39009,1019,CLP,144.11634909221252,poi_center,NA,NA,NA,NA,NA,NA,40.56725438994044,-104.76855332633761
412,128076394,23001900239233,2,NA,NA,0.013000000000000001,10190007014480,390,39004,1019,CLP,30.60516014641105,poi_center,NA,NA,NA,NA,NA,NA,40.51955553489822,-105.07104528499963
413,128076003,23001900242532,2,NA,NA,0.038,10190007014218,390,39004,1019,CLP,76.38274312040032,poi_center,NA,NA,NA,NA,NA,NA,40.614102623320704,-105.10609913991257
414,128076102,23001900242533,2,NA,NA,0.011000000000000001,10190007014281,390,39004,1019,CLP,43.27137409544472,poi_center,NA,NA,NA,NA,NA,NA,40.55434065207885,-105.60321783985151
415,128076445,23001900242539,2,NA,NA,0.037000000000000005,10190007002541,390,39004,1019,CLP,95.86231911502382,poi_center,NA,NA,NA,NA,NA,NA,40.50653428025952,-105.0261153175262
416,128075885,23001900243381,2,00177191,Watson Lake,0.155,10190007002384,390,39004,1019,CLP,109.08316360688603,poi_center,NA,NA,NA,NA,NA,NA,40.63538436202995,-105.1693965561997
417,128076217,23001900243384,2,00180517,Mahood Reservoir,0.056,10190007002462,436,43613,1019,CLP,111.18112083659783,poi_center,NA,NA,NA,NA,NA,NA,40.57578211197622,-104.88878662907216
418,128076416,23001900243391,2,00180505,Thompson Lake,0.22,10190007002528,390,39004,1019,CLP,226.9681237812002,poi_center,NA,NA,NA,NA,NA,NA,40.52284765928056,-104.8999193561506
419,128075735,23001900246746,2,NA,NA,0.02,10190007002335,390,39001,1019,CLP,59.48477850024379,poi_center,NA,NA,NA,NA,NA,NA,40.690036749048375,-105.07217795911718
420,128075908,23001900242529,2,NA,NA,0.039,10190007002387,390,39001,1019,CLP,82.24583249813098,poi_center,NA,NA,NA,NA,NA,NA,40.64072446411133,-105.06736213486238
421,128075495,23001900246324,2,00198407,Barrett Reservoir,0.018000000000000002,10190007002272,390,39004,1019,CLP,56.07097392110443,poi_center,NA,NA,NA,NA,NA,NA,40.77361978674433,-105.05113898219437
422,128075628,23001900246325,2,00199703,North Poudre Reservoir Number 4,0.41200000000000003,10190007002312,390,39009,1019,CLP,291.2498172307032,poi_center,NA,NA,NA,NA,NA,NA,40.71889967092711,-105.03379544406619
423,128075696,23001900246326,2,NA,NA,0.022000000000000002,10190007002326,390,39009,1019,CLP,67.43024671821242,poi_center,NA,NA,NA,NA,NA,NA,40.64635597678127,-105.78830379510562
424,128075711,23001900246327,2,NA,NA,0.043000000000000003,10190007002331,390,39004,1019,CLP,84.49404946813513,poi_center,NA,NA,NA,NA,NA,NA,40.691474472349064,-105.13910168968323
425,128075433,23001900246742,2,NA,NA,0.026000000000000002,10190007002263,390,39004,1019,CLP,62.74563057423655,poi_center,NA,NA,NA,NA,NA,NA,40.7708681475177,-105.52689882064135
426,128075750,23001900246749,2,NA,NA,0.021,10190007002340,390,39001,1019,CLP,52.31824753963782,poi_center,NA,NA,NA,NA,NA,NA,40.68465946132359,-105.05678498409897
427,128075823,23001900241686,2,NA,NA,0.054,10190007002366,436,43604,1019,CLP,88.44567244188981,poi_center,NA,NA,NA,NA,NA,NA,40.658098975381485,-105.13110428316536
